class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_label,derivative_work_value,text_value,language_value,subject_value
MusicComposition,Mi duol non haver stile (Agostini),The composer changed the dedication from Lodovico Domenichi to Alessandro Andriasi.,,Mi duol non haver stile (Agostini),Mi duol non haver stile (Agostini).md,g5AwxCPRyMWK,785307119291284802681,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F161280000010101_000000002400C,,,,,,,,,,,,,,,,
MusicComposition,Mi duol non haver stile (Agostini),The composer changed the dedication from Lodovico Domenichi to Alessandro Andriasi.,,Mi duol non haver stile (Agostini),Mi duol non haver stile (Agostini).md,g5AwxCPRyMWK,785307119291284802681,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,
MusicComposition,Mi duol non haver stile (Agostini),The composer changed the dedication from Lodovico Domenichi to Alessandro Andriasi.,,Mi duol non haver stile (Agostini),Mi duol non haver stile (Agostini).md,g5AwxCPRyMWK,785307119291284802681,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KMtT3sEksj7N,madrigal,,,,,,,,,,,,
MusicComposition,Mi duol non haver stile (Agostini),The composer changed the dedication from Lodovico Domenichi to Alessandro Andriasi.,,Mi duol non haver stile (Agostini),Mi duol non haver stile (Agostini).md,g5AwxCPRyMWK,785307119291284802681,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nE2sbMau9NXY,contrafactum,,,,,,,,,,,,
MusicComposition,Mi duol non haver stile (Agostini),The composer changed the dedication from Lodovico Domenichi to Alessandro Andriasi.,,Mi duol non haver stile (Agostini),Mi duol non haver stile (Agostini).md,g5AwxCPRyMWK,785307119291284802681,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U54h5JspdXgD,Giovanni Maria Bonardo,,,,,,,,,
MusicComposition,Mi duol non haver stile (Agostini),The composer changed the dedication from Lodovico Domenichi to Alessandro Andriasi.,,Mi duol non haver stile (Agostini),Mi duol non haver stile (Agostini).md,g5AwxCPRyMWK,785307119291284802681,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3ybFxsvJusaH,Lodovico Agostini,,,,,,,,,
MusicComposition,Mi duol non haver stile (Agostini),The composer changed the dedication from Lodovico Domenichi to Alessandro Andriasi.,,Mi duol non haver stile (Agostini),Mi duol non haver stile (Agostini).md,g5AwxCPRyMWK,785307119291284802681,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TLwDygVEEnDQ,Il nuovo echo a cinque voci,,,,,,,
MusicComposition,Mi duol non haver stile (Agostini),The composer changed the dedication from Lodovico Domenichi to Alessandro Andriasi.,,Mi duol non haver stile (Agostini),Mi duol non haver stile (Agostini).md,g5AwxCPRyMWK,785307119291284802681,instrumentation,,,,,,,,,,,,,,,,,
MusicComposition,Mi duol non haver stile (Agostini),The composer changed the dedication from Lodovico Domenichi to Alessandro Andriasi.,,Mi duol non haver stile (Agostini),Mi duol non haver stile (Agostini).md,g5AwxCPRyMWK,785307119291284802681,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/czZkeNyo4Pd6,Mi duol non haver stile,,,,
MusicComposition,Mi duol non haver stile (Agostini),The composer changed the dedication from Lodovico Domenichi to Alessandro Andriasi.,,Mi duol non haver stile (Agostini),Mi duol non haver stile (Agostini).md,g5AwxCPRyMWK,785307119291284802681,derivative_work,,,,,,,,,,,,,,,,,
MusicComposition,Mi duol non haver stile (Agostini),The composer changed the dedication from Lodovico Domenichi to Alessandro Andriasi.,,Mi duol non haver stile (Agostini),Mi duol non haver stile (Agostini).md,g5AwxCPRyMWK,785307119291284802681,text,,,,,,,,,,,,,,,,,
MusicComposition,Mi duol non haver stile (Agostini),The composer changed the dedication from Lodovico Domenichi to Alessandro Andriasi.,,Mi duol non haver stile (Agostini),Mi duol non haver stile (Agostini).md,g5AwxCPRyMWK,785307119291284802681,language,,,,,,,,,,,,,,,,,
MusicComposition,Mi duol non haver stile (Agostini),The composer changed the dedication from Lodovico Domenichi to Alessandro Andriasi.,,Mi duol non haver stile (Agostini),Mi duol non haver stile (Agostini).md,g5AwxCPRyMWK,785307119291284802681,subject,,,,,,,,,,,,,,,,,
