class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_label,derivative_work_value,text_value,language_value,subject_value
MusicComposition,Come la notte ogni fiammella è viva (Agostini),,,Come la notte ogni fiammella è viva (Agostini),Come la notte ogni fiammella è viva (Agostini).md,4yb5EJsELyi3,61393589585339802520,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F054270001010101_000000002400C,,,,,,,,,,,,,,,,
MusicComposition,Come la notte ogni fiammella è viva (Agostini),,,Come la notte ogni fiammella è viva (Agostini),Come la notte ogni fiammella è viva (Agostini).md,4yb5EJsELyi3,61393589585339802520,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,
MusicComposition,Come la notte ogni fiammella è viva (Agostini),,,Come la notte ogni fiammella è viva (Agostini),Come la notte ogni fiammella è viva (Agostini).md,4yb5EJsELyi3,61393589585339802520,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KMtT3sEksj7N,madrigal,,,,,,,,,,,,
MusicComposition,Come la notte ogni fiammella è viva (Agostini),,,Come la notte ogni fiammella è viva (Agostini),Come la notte ogni fiammella è viva (Agostini).md,4yb5EJsELyi3,61393589585339802520,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8qMTBqEnmhVL,Ludovico Ariosto,,,,,,,,,
MusicComposition,Come la notte ogni fiammella è viva (Agostini),,,Come la notte ogni fiammella è viva (Agostini),Come la notte ogni fiammella è viva (Agostini).md,4yb5EJsELyi3,61393589585339802520,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3ybFxsvJusaH,Lodovico Agostini,,,,,,,,,
MusicComposition,Come la notte ogni fiammella è viva (Agostini),,,Come la notte ogni fiammella è viva (Agostini),Come la notte ogni fiammella è viva (Agostini).md,4yb5EJsELyi3,61393589585339802520,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TLwDygVEEnDQ,Il nuovo echo a cinque voci,,,,,,,
MusicComposition,Come la notte ogni fiammella è viva (Agostini),,,Come la notte ogni fiammella è viva (Agostini),Come la notte ogni fiammella è viva (Agostini).md,4yb5EJsELyi3,61393589585339802520,instrumentation,,,,,,,,,,,,,,,,,
MusicComposition,Come la notte ogni fiammella è viva (Agostini),,,Come la notte ogni fiammella è viva (Agostini),Come la notte ogni fiammella è viva (Agostini).md,4yb5EJsELyi3,61393589585339802520,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TsjVsS3SXbcq,Come la notte ogni fiammella è viva,,,,
MusicComposition,Come la notte ogni fiammella è viva (Agostini),,,Come la notte ogni fiammella è viva (Agostini),Come la notte ogni fiammella è viva (Agostini).md,4yb5EJsELyi3,61393589585339802520,derivative_work,,,,,,,,,,,,,,,,,
MusicComposition,Come la notte ogni fiammella è viva (Agostini),,,Come la notte ogni fiammella è viva (Agostini),Come la notte ogni fiammella è viva (Agostini).md,4yb5EJsELyi3,61393589585339802520,text,,,,,,,,,,,,,,,,,
MusicComposition,Come la notte ogni fiammella è viva (Agostini),,,Come la notte ogni fiammella è viva (Agostini),Come la notte ogni fiammella è viva (Agostini).md,4yb5EJsELyi3,61393589585339802520,language,,,,,,,,,,,,,,,,,
MusicComposition,Come la notte ogni fiammella è viva (Agostini),,,Come la notte ogni fiammella è viva (Agostini),Come la notte ogni fiammella è viva (Agostini).md,4yb5EJsELyi3,61393589585339802520,subject,,,,,,,,,,,,,,,,,
