class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_reference,based_on_label,derivative_work_value,text_value,language_value,language_label,subject_value,subject_label,poetic_type_value,poetic_type_label,depicts_value,depicts_label,metre_value,metre_label
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,8YfdeSpr2y5W,134915374642420865260,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F050470000020101_000000248400C,,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,8YfdeSpr2y5W,134915374642420865260,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,8YfdeSpr2y5W,134915374642420865260,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DVnLVXg56sdF,(Schleuse 2015),,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,8YfdeSpr2y5W,134915374642420865260,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Amk76nLGSdfy,canzonetta,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,8YfdeSpr2y5W,134915374642420865260,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dpY4EJejw4PK,Orazio Vecchi,,,,,,,,,,,,,,,,,,
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,8YfdeSpr2y5W,134915374642420865260,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HrUA7MGNdCAq,Canzonette di Orazio Vecchi. Libro primo a quattro voci,,,,,,,,,,,,,,,,
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,8YfdeSpr2y5W,134915374642420865260,instrumentation,,,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,8YfdeSpr2y5W,134915374642420865260,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jnuZkbCNwDq6,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DVnLVXg56sdF', 'label': '(Schleuse 2015)'}]",Chi vuol vedere un bosco,,,,,,,,,,,,
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,8YfdeSpr2y5W,134915374642420865260,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,8YfdeSpr2y5W,134915374642420865260,text,,,,,,,,,,,,,,,,"Chi vuol veder un bosco folto e spesso
Venga a mirar il misero mio cuore
Quante saette ci ha tirato Amore.

Chi vuol veder duo fonti d'acqua viva
Venga a veder quest' occhi egri e dolenti
Ch'Amor gli ha fatti duo fiumi correnti.

Chi vuol veder com' arde una fornace
Venga a veder me sol ch'in ogni loco
Amor m'ha fatto tutto fiamma e foco.

Chi vuol saper di questo la cagione
Miri costei che sua rara beltade
M’infiamma ogni hora, e in lei non è pietade.",,,,,,,,,,
