class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,identifier_value
Agent,"[""Marc'Antonio Ingegneri""]",Marco Antonio Ingegneri,Marco Antonio Ingegneri.md,Marco Antonio Ingegneri,8RnVLviott3T,132424675891166487349,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,"[""Marc'Antonio Ingegneri""]",Marco Antonio Ingegneri,Marco Antonio Ingegneri.md,Marco Antonio Ingegneri,8RnVLviott3T,132424675891166487349,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,"[""Marc'Antonio Ingegneri""]",Marco Antonio Ingegneri,Marco Antonio Ingegneri.md,Marco Antonio Ingegneri,8RnVLviott3T,132424675891166487349,work_location,,,,,,,,,,,,,,
Agent,"[""Marc'Antonio Ingegneri""]",Marco Antonio Ingegneri,Marco Antonio Ingegneri.md,Marco Antonio Ingegneri,8RnVLviott3T,132424675891166487349,member_of,,,,,,,,,,,,,,
Agent,"[""Marc'Antonio Ingegneri""]",Marco Antonio Ingegneri,Marco Antonio Ingegneri.md,Marco Antonio Ingegneri,8RnVLviott3T,132424675891166487349,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,,
Agent,"[""Marc'Antonio Ingegneri""]",Marco Antonio Ingegneri,Marco Antonio Ingegneri.md,Marco Antonio Ingegneri,8RnVLviott3T,132424675891166487349,related_to,,,,,,,,,,,,,,
Agent,"[""Marc'Antonio Ingegneri""]",Marco Antonio Ingegneri,Marco Antonio Ingegneri.md,Marco Antonio Ingegneri,8RnVLviott3T,132424675891166487349,notable_work,,,,,,,,,,,,,,
Agent,"[""Marc'Antonio Ingegneri""]",Marco Antonio Ingegneri,Marco Antonio Ingegneri.md,Marco Antonio Ingegneri,8RnVLviott3T,132424675891166487349,interested_in,,,,,,,,,,,,,,
Agent,"[""Marc'Antonio Ingegneri""]",Marco Antonio Ingegneri,Marco Antonio Ingegneri.md,Marco Antonio Ingegneri,8RnVLviott3T,132424675891166487349,catalog_identifier,,,,,,,,,,,,,,
Agent,"[""Marc'Antonio Ingegneri""]",Marco Antonio Ingegneri,Marco Antonio Ingegneri.md,Marco Antonio Ingegneri,8RnVLviott3T,132424675891166487349,present_in_work,,,,,,,,,,,,,,
Agent,"[""Marc'Antonio Ingegneri""]",Marco Antonio Ingegneri,Marco Antonio Ingegneri.md,Marco Antonio Ingegneri,8RnVLviott3T,132424675891166487349,identifier,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q1995396
