class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,derivative_work_value,text_value,language_value,language_label,subject_value,subject_label,poetic_type_value,depicts_value,depicts_label,metre_value,metre_label,identifier_value,described_by_source_value,described_by_source_label
MusicComposition,Amor m'ha bastonat cum la so mescola (Agostini),Amor m'ha bastonat cum la so mescola (Agostini).md,Amor m'ha bastonat cum la so mescola (Agostini),dvyijqTFNMA7,741436098844000526984,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2bhdRbc5uz6o,villanella,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Amor m'ha bastonat cum la so mescola (Agostini),Amor m'ha bastonat cum la so mescola (Agostini).md,Amor m'ha bastonat cum la so mescola (Agostini),dvyijqTFNMA7,741436098844000526984,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f7SkukMmayjC,incomplete,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Amor m'ha bastonat cum la so mescola (Agostini),Amor m'ha bastonat cum la so mescola (Agostini).md,Amor m'ha bastonat cum la so mescola (Agostini),dvyijqTFNMA7,741436098844000526984,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SkU8K6nXSqeb,Andrea Calmo,,,,,,,,,,,,,,,,,,
MusicComposition,Amor m'ha bastonat cum la so mescola (Agostini),Amor m'ha bastonat cum la so mescola (Agostini).md,Amor m'ha bastonat cum la so mescola (Agostini),dvyijqTFNMA7,741436098844000526984,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XtiKQkt7awAq,Lodovico Agostini,,,,,,,,,,,,,,,,,,
MusicComposition,Amor m'ha bastonat cum la so mescola (Agostini),Amor m'ha bastonat cum la so mescola (Agostini).md,Amor m'ha bastonat cum la so mescola (Agostini),dvyijqTFNMA7,741436098844000526984,part_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hiE7NEWM6ThN,Musica di Lodovico Agostini ferrarese sopra le rime bizzarre di m. Andrea Calmo,,,,,,,,,,,,,,,,
MusicComposition,Amor m'ha bastonat cum la so mescola (Agostini),Amor m'ha bastonat cum la so mescola (Agostini).md,Amor m'ha bastonat cum la so mescola (Agostini),dvyijqTFNMA7,741436098844000526984,instrumentation,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Amor m'ha bastonat cum la so mescola (Agostini),Amor m'ha bastonat cum la so mescola (Agostini).md,Amor m'ha bastonat cum la so mescola (Agostini),dvyijqTFNMA7,741436098844000526984,based_on,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Amor m'ha bastonat cum la so mescola (Agostini),Amor m'ha bastonat cum la so mescola (Agostini).md,Amor m'ha bastonat cum la so mescola (Agostini),dvyijqTFNMA7,741436098844000526984,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Amor m'ha bastonat cum la so mescola (Agostini),Amor m'ha bastonat cum la so mescola (Agostini).md,Amor m'ha bastonat cum la so mescola (Agostini),dvyijqTFNMA7,741436098844000526984,text,,,,,,,,,,,"Amor m'ha bastonat cum la so mescola 
Per u vi set de merda di na zovena, 
Che m'ha scarpart tugh'ol polmon 
Cun l'anima Senza podì mai dì, 
Che fet mandragola
Me sborì ados, che mai senti tal furia,
Dof che son pez che l'asen dol Mercurio.",,,,,,,,,,,,
MusicComposition,Amor m'ha bastonat cum la so mescola (Agostini),Amor m'ha bastonat cum la so mescola (Agostini).md,Amor m'ha bastonat cum la so mescola (Agostini),dvyijqTFNMA7,741436098844000526984,language,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UzQqDq2qMKwd,Venetian,,,,,,,,,,
MusicComposition,Amor m'ha bastonat cum la so mescola (Agostini),Amor m'ha bastonat cum la so mescola (Agostini).md,Amor m'ha bastonat cum la so mescola (Agostini),dvyijqTFNMA7,741436098844000526984,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,,,,,,,
MusicComposition,Amor m'ha bastonat cum la so mescola (Agostini),Amor m'ha bastonat cum la so mescola (Agostini).md,Amor m'ha bastonat cum la so mescola (Agostini),dvyijqTFNMA7,741436098844000526984,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KbxBVs3YAzhk,bizzarria,,,,,,,,
MusicComposition,Amor m'ha bastonat cum la so mescola (Agostini),Amor m'ha bastonat cum la so mescola (Agostini).md,Amor m'ha bastonat cum la so mescola (Agostini),dvyijqTFNMA7,741436098844000526984,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kNR7wGs7pHDt,humorous poetry,,,,,,,,
MusicComposition,Amor m'ha bastonat cum la so mescola (Agostini),Amor m'ha bastonat cum la so mescola (Agostini).md,Amor m'ha bastonat cum la so mescola (Agostini),dvyijqTFNMA7,741436098844000526984,poetic_type,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Amor m'ha bastonat cum la so mescola (Agostini),Amor m'ha bastonat cum la so mescola (Agostini).md,Amor m'ha bastonat cum la so mescola (Agostini),dvyijqTFNMA7,741436098844000526984,depicts,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6nALZyKdNVww,Mercury,,,,,
MusicComposition,Amor m'ha bastonat cum la so mescola (Agostini),Amor m'ha bastonat cum la so mescola (Agostini).md,Amor m'ha bastonat cum la so mescola (Agostini),dvyijqTFNMA7,741436098844000526984,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MtAR7RG7DRd9,dodecasyllable,,,
MusicComposition,Amor m'ha bastonat cum la so mescola (Agostini),Amor m'ha bastonat cum la so mescola (Agostini).md,Amor m'ha bastonat cum la so mescola (Agostini),dvyijqTFNMA7,741436098844000526984,identifier,,,,,,,,,,,,,,,,,,,,,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F016820000010101_000000002400C,,
MusicComposition,Amor m'ha bastonat cum la so mescola (Agostini),Amor m'ha bastonat cum la so mescola (Agostini).md,Amor m'ha bastonat cum la so mescola (Agostini),dvyijqTFNMA7,741436098844000526984,described_by_source,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM
