class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,derivative_work_value,text_value,language_value,language_label,subject_value,subject_label,poetic_type_value,depicts_value,depicts_label,metre_value
MusicComposition,Al vago e incerto gioco di primiera (Striggio),,,Al vago e incerto gioco di primiera (Striggio),Al vago e incerto gioco di primiera (Striggio).md,M9CeVDhwbT4n,394683910540746220994,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/011940001010101_000000233500C,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Al vago e incerto gioco di primiera (Striggio),,,Al vago e incerto gioco di primiera (Striggio),Al vago e incerto gioco di primiera (Striggio).md,M9CeVDhwbT4n,394683910540746220994,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,
MusicComposition,Al vago e incerto gioco di primiera (Striggio),,,Al vago e incerto gioco di primiera (Striggio),Al vago e incerto gioco di primiera (Striggio).md,M9CeVDhwbT4n,394683910540746220994,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DVnLVXg56sdF,(Schleuse 2015),,,,,,,,,,,,,,,,,,,
MusicComposition,Al vago e incerto gioco di primiera (Striggio),,,Al vago e incerto gioco di primiera (Striggio),Al vago e incerto gioco di primiera (Striggio).md,M9CeVDhwbT4n,394683910540746220994,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a7Qa4z8ocEzP,madrigal,,,,,,,,,,,,,,,,,
MusicComposition,Al vago e incerto gioco di primiera (Striggio),,,Al vago e incerto gioco di primiera (Striggio),Al vago e incerto gioco di primiera (Striggio).md,M9CeVDhwbT4n,394683910540746220994,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4tXtVLNjEeQy,Alessandro Striggio,,,,,,,,,,,,,,
MusicComposition,Al vago e incerto gioco di primiera (Striggio),,,Al vago e incerto gioco di primiera (Striggio),Al vago e incerto gioco di primiera (Striggio).md,M9CeVDhwbT4n,394683910540746220994,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kAeHmSyQi4Y8,"Il cicalamento delle donne al bucato, et la caccia di Alessandro Striggio, a quattro, cinque, sei et sette voci. Con il gioco di primiera a cinque voci",,,,,,,,,,,,
MusicComposition,Al vago e incerto gioco di primiera (Striggio),,,Al vago e incerto gioco di primiera (Striggio),Al vago e incerto gioco di primiera (Striggio).md,M9CeVDhwbT4n,394683910540746220994,instrumentation,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Al vago e incerto gioco di primiera (Striggio),,,Al vago e incerto gioco di primiera (Striggio),Al vago e incerto gioco di primiera (Striggio).md,M9CeVDhwbT4n,394683910540746220994,based_on,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Al vago e incerto gioco di primiera (Striggio),,,Al vago e incerto gioco di primiera (Striggio),Al vago e incerto gioco di primiera (Striggio).md,M9CeVDhwbT4n,394683910540746220994,derivative_work,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Al vago e incerto gioco di primiera (Striggio),,,Al vago e incerto gioco di primiera (Striggio),Al vago e incerto gioco di primiera (Striggio).md,M9CeVDhwbT4n,394683910540746220994,text,,,,,,,,,,,,,,"Al vago e incerto gioco di primiera
chi vol giocar dui scudi per piacere
... siamo qui in cinque
... ecole qui signor polit'e belle
mescolatelle a un tratto
e poi faccia a chi tocc'il primo sette

[Or date fuor de' grossi e 'l gross'istesso]
di che caviamo ...
vad'il mio grosso
il voglio
dattene quattro
i scarto
mal aggia chi di quella fu inventore
a me giuoca 'l mio resto
passa a monte
vada il resto mio
il voglio anch'io
tutti scartiam
et io a primiera
voglio far manco
farò primiera
eccola quivi
nulla tirate",,,,,,,,
MusicComposition,Al vago e incerto gioco di primiera (Striggio),,,Al vago e incerto gioco di primiera (Striggio),Al vago e incerto gioco di primiera (Striggio).md,M9CeVDhwbT4n,394683910540746220994,language,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,,,,,,
MusicComposition,Al vago e incerto gioco di primiera (Striggio),,,Al vago e incerto gioco di primiera (Striggio),Al vago e incerto gioco di primiera (Striggio).md,M9CeVDhwbT4n,394683910540746220994,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7SiSdUEKzaiU,game,,,,
MusicComposition,Al vago e incerto gioco di primiera (Striggio),,,Al vago e incerto gioco di primiera (Striggio),Al vago e incerto gioco di primiera (Striggio).md,M9CeVDhwbT4n,394683910540746220994,poetic_type,,,,,,,,,,,,,,,,,,,,,,
