class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_label,derivative_work_value,text_value,language_value,subject_value,subject_label,poetic_type_value,depicts_value,metre_value
MusicComposition,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),,,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta).md,nr3gA3aGGaey,925367796666620693947,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F247580000020101_000000133700C,,,,,,,,,,,,,,,,,,,,
MusicComposition,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),,,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta).md,nr3gA3aGGaey,925367796666620693947,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,
MusicComposition,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),,,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta).md,nr3gA3aGGaey,925367796666620693947,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a7Qa4z8ocEzP,madrigal,,,,,,,,,,,,,,,,
MusicComposition,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),,,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta).md,nr3gA3aGGaey,925367796666620693947,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/THDdx5np8gBo,Giandomenico Martoretta,,,,,,,,,,,,,
MusicComposition,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),,,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta).md,nr3gA3aGGaey,925367796666620693947,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EBMKwsCza3hd,Ludovico Ariosto,,,,,,,,,,,,,
MusicComposition,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),,,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta).md,nr3gA3aGGaey,925367796666620693947,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bdRLRxnHkEJT,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,,,,,,,,,,,
MusicComposition,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),,,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta).md,nr3gA3aGGaey,925367796666620693947,instrumentation,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),,,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta).md,nr3gA3aGGaey,925367796666620693947,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/chsc4zkANNmU,Sa questo altier ch'io l'amo e ch'io l'adoro,,,,,,,,
MusicComposition,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),,,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta).md,nr3gA3aGGaey,925367796666620693947,derivative_work,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),,,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta).md,nr3gA3aGGaey,925367796666620693947,text,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),,,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta).md,nr3gA3aGGaey,925367796666620693947,language,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),,,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta).md,nr3gA3aGGaey,925367796666620693947,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GhA3XmpeZfqx,arie per cantare,,,
MusicComposition,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),,,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta).md,nr3gA3aGGaey,925367796666620693947,poetic_type,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),,,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta).md,nr3gA3aGGaey,925367796666620693947,depicts,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),,,Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta),Sa quest'altier ch'io l'amo e ch'io l'adoro (Martoretta).md,nr3gA3aGGaey,925367796666620693947,metre,,,,,,,,,,,,,,,,,,,,,
