class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_reference,based_on_label,derivative_work_value,text_value,language_value,language_label,subject_value,subject_label,poetic_type_value,poetic_type_label,depicts_value,depicts_label,metre_value,metre_label
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,QGTcewmY6ayC,459220911647776258702,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F050470000020101_000000248400C,,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,QGTcewmY6ayC,459220911647776258702,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,QGTcewmY6ayC,459220911647776258702,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XLQTivHFPMny,(Schleuse 2015),,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,QGTcewmY6ayC,459220911647776258702,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o37R4hW3emjb,canzonetta,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,QGTcewmY6ayC,459220911647776258702,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GAKXLkQUx9vm,Orazio Vecchi,,,,,,,,,,,,,,,,,,
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,QGTcewmY6ayC,459220911647776258702,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CobFHSosJoao,Canzonette di Orazio Vecchi. Libro primo a quattro voci,,,,,,,,,,,,,,,,
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,QGTcewmY6ayC,459220911647776258702,instrumentation,,,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,QGTcewmY6ayC,459220911647776258702,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/459mRdBEvCRS,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XLQTivHFPMny', 'label': '(Schleuse 2015)'}]",Chi vuol vedere un bosco,,,,,,,,,,,,
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,QGTcewmY6ayC,459220911647776258702,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,QGTcewmY6ayC,459220911647776258702,text,,,,,,,,,,,,,,,,"Chi vuol veder un bosco folto e spesso
Venga a mirar il misero mio cuore
Quante saette ci ha tirato Amore.

Chi vuol veder duo fonti d'acqua viva
Venga a veder quest' occhi egri e dolenti
Ch'Amor gli ha fatti duo fiumi correnti.

Chi vuol veder com' arde una fornace
Venga a veder me sol ch'in ogni loco
Amor m'ha fatto tutto fiamma e foco.

Chi vuol saper di questo la cagione
Miri costei che sua rara beltade
M’infiamma ogni hora, e in lei non è pietade.",,,,,,,,,,
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,QGTcewmY6ayC,459220911647776258702,language,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,,,,,,,,
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,QGTcewmY6ayC,459220911647776258702,subject,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MVesHQPbVg5X,metaphor,,,,,,
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,QGTcewmY6ayC,459220911647776258702,poetic_type,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Nfnr9QAEQVRp,terzina,,,,
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,QGTcewmY6ayC,459220911647776258702,depicts,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/E3PKJTAvLpog,forest,,
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,QGTcewmY6ayC,459220911647776258702,depicts,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cw9SB9nEpgGt,river,,
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,QGTcewmY6ayC,459220911647776258702,depicts,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mUmjH8v3mmFT,Cupid,,
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,QGTcewmY6ayC,459220911647776258702,depicts,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FfsDH2wWMAGN,lightning,,
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,QGTcewmY6ayC,459220911647776258702,depicts,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4jQ3H5yuexkm,flame,,
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,QGTcewmY6ayC,459220911647776258702,depicts,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YNz7hZ7AqXJk,weeping,,
MusicComposition,Chi vuol veder un bosco folto e spesso (Vecchi),,,Chi vuol veder un bosco folto e spesso (Vecchi),Chi vuol veder un bosco folto e spesso (Vecchi).md,QGTcewmY6ayC,459220911647776258702,metre,,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable
