class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,inception_sourcing_circumstances,inception_reference,dissolved_value,dissolved_sourcing_circumstances,dissolved_reference,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_pseudonym,member_value,member_reference,member_label,interested_in_value,notable_work_value
Organisation,Accademia degli Eterei di Padova,,,Accademia degli Eterei di Padova,Accademia degli Eterei di Padova.md,45nDagaMSqGr,42638653706665492314,identifier,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Eterei di Padova,,,Accademia degli Eterei di Padova,Accademia degli Eterei di Padova.md,45nDagaMSqGr,42638653706665492314,described_by_source,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Eterei di Padova,,,Accademia degli Eterei di Padova,Accademia degli Eterei di Padova.md,45nDagaMSqGr,42638653706665492314,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Eterei di Padova,,,Accademia degli Eterei di Padova,Accademia degli Eterei di Padova.md,45nDagaMSqGr,42638653706665492314,inception,,,,,1563.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QWmtzgCRQ9wY', 'label': 'circa'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,,,
Organisation,Accademia degli Eterei di Padova,,,Accademia degli Eterei di Padova,Accademia degli Eterei di Padova.md,45nDagaMSqGr,42638653706665492314,dissolved,,,,,,,,1569.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QWmtzgCRQ9wY', 'label': 'circa'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,,,,
Organisation,Accademia degli Eterei di Padova,,,Accademia degli Eterei di Padova,Accademia degli Eterei di Padova.md,45nDagaMSqGr,42638653706665492314,location,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LMDs6rjFqCi5,Padova,,,,,,,,,
Organisation,Accademia degli Eterei di Padova,,,Accademia degli Eterei di Padova,Accademia degli Eterei di Padova.md,45nDagaMSqGr,42638653706665492314,official_website,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Eterei di Padova,,,Accademia degli Eterei di Padova,Accademia degli Eterei di Padova.md,45nDagaMSqGr,42638653706665492314,catalog_identifier,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",25.0,,,,,,
Organisation,Accademia degli Eterei di Padova,,,Accademia degli Eterei di Padova,Accademia degli Eterei di Padova.md,45nDagaMSqGr,42638653706665492314,member,,,,,,,,,,,,,,,,Il Pentito,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YvLbpbXURbTT,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",Torquato Tasso,,
Organisation,Accademia degli Eterei di Padova,,,Accademia degli Eterei di Padova,Accademia degli Eterei di Padova.md,45nDagaMSqGr,42638653706665492314,interested_in,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Eterei di Padova,,,Accademia degli Eterei di Padova,Accademia degli Eterei di Padova.md,45nDagaMSqGr,42638653706665492314,notable_work,,,,,,,,,,,,,,,,,,,,,
