class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_label,derivative_work_value,text_value,language_value,subject_value
MusicComposition,Come la notte ogni fiammella è viva (Agostini),,,Come la notte ogni fiammella è viva (Agostini),Come la notte ogni fiammella è viva (Agostini).md,HKMJuWuDnECV,315815626364958533037,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F054270001010101_000000002400C,,,,,,,,,,,,,,,,
MusicComposition,Come la notte ogni fiammella è viva (Agostini),,,Come la notte ogni fiammella è viva (Agostini),Come la notte ogni fiammella è viva (Agostini).md,HKMJuWuDnECV,315815626364958533037,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,
MusicComposition,Come la notte ogni fiammella è viva (Agostini),,,Come la notte ogni fiammella è viva (Agostini),Come la notte ogni fiammella è viva (Agostini).md,HKMJuWuDnECV,315815626364958533037,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a7Qa4z8ocEzP,madrigal,,,,,,,,,,,,
MusicComposition,Come la notte ogni fiammella è viva (Agostini),,,Come la notte ogni fiammella è viva (Agostini),Come la notte ogni fiammella è viva (Agostini).md,HKMJuWuDnECV,315815626364958533037,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EBMKwsCza3hd,Ludovico Ariosto,,,,,,,,,
MusicComposition,Come la notte ogni fiammella è viva (Agostini),,,Come la notte ogni fiammella è viva (Agostini),Come la notte ogni fiammella è viva (Agostini).md,HKMJuWuDnECV,315815626364958533037,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XtiKQkt7awAq,Lodovico Agostini,,,,,,,,,
MusicComposition,Come la notte ogni fiammella è viva (Agostini),,,Come la notte ogni fiammella è viva (Agostini),Come la notte ogni fiammella è viva (Agostini).md,HKMJuWuDnECV,315815626364958533037,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jPYPYvZuSBLf,Il nuovo echo a cinque voci,,,,,,,
MusicComposition,Come la notte ogni fiammella è viva (Agostini),,,Come la notte ogni fiammella è viva (Agostini),Come la notte ogni fiammella è viva (Agostini).md,HKMJuWuDnECV,315815626364958533037,instrumentation,,,,,,,,,,,,,,,,,
MusicComposition,Come la notte ogni fiammella è viva (Agostini),,,Come la notte ogni fiammella è viva (Agostini),Come la notte ogni fiammella è viva (Agostini).md,HKMJuWuDnECV,315815626364958533037,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LRXChf5hPwRX,Come la notte ogni fiammella è viva,,,,
MusicComposition,Come la notte ogni fiammella è viva (Agostini),,,Come la notte ogni fiammella è viva (Agostini),Come la notte ogni fiammella è viva (Agostini).md,HKMJuWuDnECV,315815626364958533037,derivative_work,,,,,,,,,,,,,,,,,
MusicComposition,Come la notte ogni fiammella è viva (Agostini),,,Come la notte ogni fiammella è viva (Agostini),Come la notte ogni fiammella è viva (Agostini).md,HKMJuWuDnECV,315815626364958533037,text,,,,,,,,,,,,,,,,,
MusicComposition,Come la notte ogni fiammella è viva (Agostini),,,Come la notte ogni fiammella è viva (Agostini),Come la notte ogni fiammella è viva (Agostini).md,HKMJuWuDnECV,315815626364958533037,language,,,,,,,,,,,,,,,,,
MusicComposition,Come la notte ogni fiammella è viva (Agostini),,,Come la notte ogni fiammella è viva (Agostini),Come la notte ogni fiammella è viva (Agostini).md,HKMJuWuDnECV,315815626364958533037,subject,,,,,,,,,,,,,,,,,
