class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,inception_value,inception_reference,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,member_reference,member_label,interested_in_value,notable_work_value
Organisation,Accademia delle Assicurate di Siena,,,Accademia delle Assicurate di Siena,Accademia delle Assicurate di Siena.md,ePeFCnp2Qhhn,750725218405272489974,identifier,,,,,,,,,,,,,,,,,,
Organisation,Accademia delle Assicurate di Siena,,,Accademia delle Assicurate di Siena,Accademia delle Assicurate di Siena.md,ePeFCnp2Qhhn,750725218405272489974,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VzDB9FgKgMET,"(Everson, Reidy, and Sampson 2020)",,,,,,,,,,,,,,,
Organisation,Accademia delle Assicurate di Siena,,,Accademia delle Assicurate di Siena,Accademia delle Assicurate di Siena.md,ePeFCnp2Qhhn,750725218405272489974,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,,
Organisation,Accademia delle Assicurate di Siena,,,Accademia delle Assicurate di Siena,Accademia delle Assicurate di Siena.md,ePeFCnp2Qhhn,750725218405272489974,inception,,,,,,1654.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,,,,
Organisation,Accademia delle Assicurate di Siena,,,Accademia delle Assicurate di Siena,Accademia delle Assicurate di Siena.md,ePeFCnp2Qhhn,750725218405272489974,dissolved,,,,,,,,,,,,,,,,,,
Organisation,Accademia delle Assicurate di Siena,,,Accademia delle Assicurate di Siena,Accademia delle Assicurate di Siena.md,ePeFCnp2Qhhn,750725218405272489974,location,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MYfqAMA7FA2N,Siena,,,,,,,,
Organisation,Accademia delle Assicurate di Siena,,,Accademia delle Assicurate di Siena,Accademia delle Assicurate di Siena.md,ePeFCnp2Qhhn,750725218405272489974,official_website,,,,,,,,,,,,,,,,,,
Organisation,Accademia delle Assicurate di Siena,,,Accademia delle Assicurate di Siena,Accademia delle Assicurate di Siena.md,ePeFCnp2Qhhn,750725218405272489974,catalog_identifier,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",99.0,,,,,
Organisation,Accademia delle Assicurate di Siena,,,Accademia delle Assicurate di Siena,Accademia delle Assicurate di Siena.md,ePeFCnp2Qhhn,750725218405272489974,member,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/X4biz7FmNDEb,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",Vittoria della Rovere,,
Organisation,Accademia delle Assicurate di Siena,,,Accademia delle Assicurate di Siena,Accademia delle Assicurate di Siena.md,ePeFCnp2Qhhn,750725218405272489974,interested_in,,,,,,,,,,,,,,,,,,
Organisation,Accademia delle Assicurate di Siena,,,Accademia delle Assicurate di Siena,Accademia delle Assicurate di Siena.md,ePeFCnp2Qhhn,750725218405272489974,notable_work,,,,,,,,,,,,,,,,,,
