class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,metre_value,metre_label,depicts_value,language_value,language_label,text_value
PoeticWork,En volucuis generosa minas sub arundine spernit,"Opening poem of the treatise Arithmologia, dedicated to the Nádasdy family. An English translation of the text is ""Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest
Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest"".",,En volucuis generosa minas sub arundine spernit,En volucuis generosa minas sub arundine spernit.md,EETcrSHiACBE,252137868501866261457,identifier,,,,,,,,,,,,,,,,,,,,,
PoeticWork,En volucuis generosa minas sub arundine spernit,"Opening poem of the treatise Arithmologia, dedicated to the Nádasdy family. An English translation of the text is ""Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest
Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest"".",,En volucuis generosa minas sub arundine spernit,En volucuis generosa minas sub arundine spernit.md,EETcrSHiACBE,252137868501866261457,described_by_source,,,,,,,,,,,,,,,,,,,,,
PoeticWork,En volucuis generosa minas sub arundine spernit,"Opening poem of the treatise Arithmologia, dedicated to the Nádasdy family. An English translation of the text is ""Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest
Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest"".",,En volucuis generosa minas sub arundine spernit,En volucuis generosa minas sub arundine spernit.md,EETcrSHiACBE,252137868501866261457,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,
PoeticWork,En volucuis generosa minas sub arundine spernit,"Opening poem of the treatise Arithmologia, dedicated to the Nádasdy family. An English translation of the text is ""Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest
Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest"".",,En volucuis generosa minas sub arundine spernit,En volucuis generosa minas sub arundine spernit.md,EETcrSHiACBE,252137868501866261457,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gGnmBbze2MnW,Athanasius Kircher,,,,,,,,,,,,,,
PoeticWork,En volucuis generosa minas sub arundine spernit,"Opening poem of the treatise Arithmologia, dedicated to the Nádasdy family. An English translation of the text is ""Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest
Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest"".",,En volucuis generosa minas sub arundine spernit,En volucuis generosa minas sub arundine spernit.md,EETcrSHiACBE,252137868501866261457,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/APuihfyvsfME,Frotispiece,Arithmologia sive De abditis Numerorum mysteriis,,,,,,,,,,,
PoeticWork,En volucuis generosa minas sub arundine spernit,"Opening poem of the treatise Arithmologia, dedicated to the Nádasdy family. An English translation of the text is ""Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest
Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest"".",,En volucuis generosa minas sub arundine spernit,En volucuis generosa minas sub arundine spernit.md,EETcrSHiACBE,252137868501866261457,based_on,,,,,,,,,,,,,,,,,,,,,
PoeticWork,En volucuis generosa minas sub arundine spernit,"Opening poem of the treatise Arithmologia, dedicated to the Nádasdy family. An English translation of the text is ""Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest
Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest"".",,En volucuis generosa minas sub arundine spernit,En volucuis generosa minas sub arundine spernit.md,EETcrSHiACBE,252137868501866261457,derivative_work,,,,,,,,,,,,,,,,,,,,,
PoeticWork,En volucuis generosa minas sub arundine spernit,"Opening poem of the treatise Arithmologia, dedicated to the Nádasdy family. An English translation of the text is ""Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest
Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest"".",,En volucuis generosa minas sub arundine spernit,En volucuis generosa minas sub arundine spernit.md,EETcrSHiACBE,252137868501866261457,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,
PoeticWork,En volucuis generosa minas sub arundine spernit,"Opening poem of the treatise Arithmologia, dedicated to the Nádasdy family. An English translation of the text is ""Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest
Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest"".",,En volucuis generosa minas sub arundine spernit,En volucuis generosa minas sub arundine spernit.md,EETcrSHiACBE,252137868501866261457,poetic_type,,,,,,,,,,,,,,,,,,,,,
PoeticWork,En volucuis generosa minas sub arundine spernit,"Opening poem of the treatise Arithmologia, dedicated to the Nádasdy family. An English translation of the text is ""Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest
Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest"".",,En volucuis generosa minas sub arundine spernit,En volucuis generosa minas sub arundine spernit.md,EETcrSHiACBE,252137868501866261457,metre,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/foPko6Zoq7GG,hexameter,,,,
