class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,metre_value,metre_label,depicts_value,language_value,language_label,text_value
PoeticWork,En volucuis generosa minas sub arundine spernit,"Opening poem of the treatise Arithmologia, dedicated to the Nádasdy family. An English translation of the text is ""Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest
Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest"".",,En volucuis generosa minas sub arundine spernit,En volucuis generosa minas sub arundine spernit.md,cQAmDsXC9TNv,709640956006860085294,identifier,,,,,,,,,,,,,,,,,,,,,
PoeticWork,En volucuis generosa minas sub arundine spernit,"Opening poem of the treatise Arithmologia, dedicated to the Nádasdy family. An English translation of the text is ""Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest
Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest"".",,En volucuis generosa minas sub arundine spernit,En volucuis generosa minas sub arundine spernit.md,cQAmDsXC9TNv,709640956006860085294,described_by_source,,,,,,,,,,,,,,,,,,,,,
PoeticWork,En volucuis generosa minas sub arundine spernit,"Opening poem of the treatise Arithmologia, dedicated to the Nádasdy family. An English translation of the text is ""Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest
Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest"".",,En volucuis generosa minas sub arundine spernit,En volucuis generosa minas sub arundine spernit.md,cQAmDsXC9TNv,709640956006860085294,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,
PoeticWork,En volucuis generosa minas sub arundine spernit,"Opening poem of the treatise Arithmologia, dedicated to the Nádasdy family. An English translation of the text is ""Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest
Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest"".",,En volucuis generosa minas sub arundine spernit,En volucuis generosa minas sub arundine spernit.md,cQAmDsXC9TNv,709640956006860085294,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FtSfAj42F27w,Athanasius Kircher,,,,,,,,,,,,,,
PoeticWork,En volucuis generosa minas sub arundine spernit,"Opening poem of the treatise Arithmologia, dedicated to the Nádasdy family. An English translation of the text is ""Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest
Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest"".",,En volucuis generosa minas sub arundine spernit,En volucuis generosa minas sub arundine spernit.md,cQAmDsXC9TNv,709640956006860085294,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KH7kyCfwutwC,Frotispiece,Arithmologia sive De abditis Numerorum mysteriis,,,,,,,,,,,
PoeticWork,En volucuis generosa minas sub arundine spernit,"Opening poem of the treatise Arithmologia, dedicated to the Nádasdy family. An English translation of the text is ""Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest
Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest"".",,En volucuis generosa minas sub arundine spernit,En volucuis generosa minas sub arundine spernit.md,cQAmDsXC9TNv,709640956006860085294,based_on,,,,,,,,,,,,,,,,,,,,,
PoeticWork,En volucuis generosa minas sub arundine spernit,"Opening poem of the treatise Arithmologia, dedicated to the Nádasdy family. An English translation of the text is ""Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest
Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest"".",,En volucuis generosa minas sub arundine spernit,En volucuis generosa minas sub arundine spernit.md,cQAmDsXC9TNv,709640956006860085294,derivative_work,,,,,,,,,,,,,,,,,,,,,
PoeticWork,En volucuis generosa minas sub arundine spernit,"Opening poem of the treatise Arithmologia, dedicated to the Nádasdy family. An English translation of the text is ""Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest
Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest"".",,En volucuis generosa minas sub arundine spernit,En volucuis generosa minas sub arundine spernit.md,cQAmDsXC9TNv,709640956006860085294,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZfsD5EcdZsxp,praise,,,,,,,
PoeticWork,En volucuis generosa minas sub arundine spernit,"Opening poem of the treatise Arithmologia, dedicated to the Nádasdy family. An English translation of the text is ""Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest
Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest"".",,En volucuis generosa minas sub arundine spernit,En volucuis generosa minas sub arundine spernit.md,cQAmDsXC9TNv,709640956006860085294,poetic_type,,,,,,,,,,,,,,,,,,,,,
PoeticWork,En volucuis generosa minas sub arundine spernit,"Opening poem of the treatise Arithmologia, dedicated to the Nádasdy family. An English translation of the text is ""Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest
Behold, the generous bird scorns the threats under the reed.
While they cherish the rough, forged bark.
Thus you join to yourself the secure pasture of Nadasdie,
To whom alone, the sadder shadow of weapons, rest"".",,En volucuis generosa minas sub arundine spernit,En volucuis generosa minas sub arundine spernit.md,cQAmDsXC9TNv,709640956006860085294,metre,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Kg6bQqGNnLXx,hexameter,,,,
